invoice_id,account_id,product_id,invoice_date,due_date,paid_date,amount,invoice_status
36,4,5,2023-08-30,2023-08-02,2023-01-27,270.0,Overdue
37,4,5,2024-12-05,2023-06-27,2024-10-18,351.0,Paid
38,4,5,2023-02-08,2024-02-27,,240.0,Overdue
39,4,5,2024-07-27,2024-03-26,2023-03-05,258.0,Paid
40,4,5,2024-12-04,2023-07-28,2024-05-19,267.0,Paid
41,4,5,2024-07-05,2024-01-24,2024-11-26,243.0,Overdue
42,4,5,2023-11-26,2024-09-20,2024-02-11,258.0,Paid
43,4,5,2023-06-25,2024-05-02,2024-01-12,252.0,Paid
44,4,5,2024-01-30,2025-01-20,,354.0,Paid
45,4,5,2023-06-09,2023-03-22,,300.0,Paid
46,4,5,2024-11-20,2023-12-26,2024-01-23,318.0,Paid
47,4,5,2024-09-30,2023-10-26,2023-08-10,240.0,Paid
48,4,5,2024-07-25,2024-03-18,2024-11-16,282.0,Paid
49,4,5,2023-06-17,2024-08-06,,300.0,Paid
50,4,5,2023-08-07,2024-07-11,2024-07-01,243.0,Paid
51,6,5,2023-12-27,2023-09-14,2023-01-31,1428.0,Paid
52,6,5,2024-12-30,2024-12-01,2023-04-18,1224.0,Paid
53,6,5,2024-07-06,2023-10-20,2024-09-22,1092.0,Overdue
54,6,5,2024-12-11,2023-11-10,2023-11-11,1188.0,Paid
55,6,5,2024-03-24,2024-11-27,2024-03-26,1140.0,Paid
56,6,5,2024-07-25,2023-12-20,2024-01-01,1248.0,Paid
57,6,5,2024-10-27,2024-03-15,2023-12-27,1140.0,Paid
58,6,5,2024-12-20,2023-07-25,2023-11-20,1212.0,Paid
59,6,5,2024-09-27,2023-06-17,2024-05-02,1404.0,Overdue
60,6,5,2024-11-01,2023-04-01,2024-03-25,1344.0,Overdue
61,6,5,2023-06-06,2024-10-30,2023-07-08,1404.0,Paid
62,6,5,2023-01-02,2023-07-16,2024-01-13,1356.0,Paid
63,6,5,2024-09-29,2023-11-29,2024-06-01,1032.0,Paid
64,6,5,2023-12-03,2023-07-06,2023-05-18,1212.0,Overdue
65,6,5,2023-06-01,2023-07-26,2023-03-23,1080.0,Overdue
66,6,5,2023-05-23,2023-08-02,2023-12-16,1104.0,Paid
67,6,5,2024-06-12,2023-06-27,,1260.0,Paid
68,6,5,2023-10-03,2023-07-24,2024-08-23,1080.0,Paid
69,6,5,2023-04-15,2023-12-03,2023-07-05,1188.0,Paid
70,6,5,2024-04-25,2023-04-24,2023-09-22,1320.0,Paid
71,6,5,2024-05-13,2023-10-18,,960.0,Overdue
72,6,5,2023-12-11,2024-05-07,2023-08-21,1032.0,Paid
73,6,5,2023-11-02,2023-10-11,2023-08-27,1044.0,Paid
74,6,5,2023-06-21,2024-03-01,2024-01-24,1272.0,Paid
75,6,5,2024-09-10,2024-07-19,2024-07-04,1428.0,Paid
76,9,5,2023-03-21,2024-04-15,2023-11-14,273.0,Overdue
77,9,5,2024-05-12,2023-03-13,2023-06-02,246.0,Overdue
78,9,5,2023-02-20,2024-09-01,2024-01-09,261.0,Paid
79,9,5,2024-02-22,2024-01-03,2024-11-03,312.0,Paid
80,9,5,2023-10-10,2023-03-30,2024-01-15,267.0,Paid
81,9,5,2024-02-24,2023-09-06,2024-05-19,342.0,Paid
82,9,5,2024-04-22,2024-06-27,2024-05-29,318.0,Paid
83,9,5,2024-02-22,2025-01-24,2024-08-12,333.0,Paid
84,9,5,2024-05-20,2023-05-01,2024-08-06,303.0,Paid
85,9,5,2024-11-28,2024-09-09,,315.0,Overdue
86,9,5,2024-07-04,2024-08-04,2023-10-26,240.0,Paid
87,9,5,2024-06-01,2024-07-16,2024-03-31,336.0,Overdue
88,9,5,2023-01-10,2023-03-09,2024-05-13,306.0,Paid
89,9,5,2024-08-06,2023-05-05,2023-06-30,303.0,Paid
90,9,5,2023-08-01,2024-02-10,,324.0,Paid
91,9,5,2023-11-08,2025-01-02,2023-03-08,291.0,Overdue
92,9,5,2024-03-11,2024-04-23,2024-06-07,303.0,Paid
93,9,5,2024-05-07,2023-05-21,2023-09-20,327.0,Paid
94,9,5,2024-09-07,2024-12-09,2024-05-27,240.0,Paid
95,9,5,2023-06-28,2023-04-19,2024-06-19,333.0,Paid
96,9,5,2023-07-23,2023-12-16,,345.0,Paid
97,9,5,2023-01-20,2023-02-18,2023-12-05,240.0,Paid
98,9,5,2024-03-16,2024-09-09,2024-10-12,357.0,Paid
99,9,5,2023-09-30,2023-08-12,2023-12-26,324.0,Overdue
100,9,5,2024-09-08,2024-07-05,2023-06-27,300.0,Overdue
101,11,5,2023-02-02,2024-01-26,2024-10-14,1092.0,Paid
102,11,5,2023-02-26,2023-06-12,2024-12-05,1368.0,Paid
103,11,5,2023-03-29,2023-11-08,2024-01-10,996.0,Paid
104,11,5,2024-01-12,2024-03-10,2023-05-04,1272.0,Overdue
105,11,5,2024-04-20,2023-10-13,2023-07-17,1236.0,Paid
106,11,5,2023-10-12,2024-09-18,2024-02-17,1140.0,Paid
107,11,5,2024-05-13,2023-06-02,2024-06-23,1104.0,Paid
108,11,5,2024-07-17,2023-11-25,2024-01-24,1356.0,Paid
109,11,5,2023-11-09,2023-10-02,,1320.0,Overdue
110,11,5,2023-01-30,2023-03-01,2024-12-26,1356.0,Paid
111,11,5,2023-11-13,2023-12-11,2023-02-03,1404.0,Paid
112,11,5,2023-08-15,2023-03-27,2024-01-06,996.0,Overdue
113,11,5,2024-03-22,2024-09-15,2024-03-25,1224.0,Paid
114,11,5,2024-06-17,2023-02-21,2023-07-26,1164.0,Paid
115,11,5,2024-01-12,2023-03-18,2023-10-24,996.0,Paid
116,11,5,2023-01-27,2024-05-04,2024-03-11,1080.0,Paid
117,11,5,2023-05-01,2023-10-30,2023-07-04,1272.0,Paid
118,11,5,2023-01-15,2023-12-06,2024-02-03,1128.0,Paid
119,11,5,2024-11-11,2023-04-24,2023-12-25,1044.0,Paid
120,11,5,2023-03-30,2024-09-26,2023-01-09,1044.0,Paid
121,11,5,2023-09-08,2024-02-06,,1044.0,Overdue
122,11,5,2023-12-02,2023-07-26,2023-06-07,1164.0,Paid
123,11,5,2024-07-02,2024-06-16,2024-02-12,1260.0,Paid
124,11,5,2024-11-15,2025-01-12,2023-02-20,1248.0,Overdue
125,11,5,2023-02-02,2024-05-20,2023-11-11,1380.0,Paid
126,15,5,2024-09-29,2024-04-20,2023-08-25,1068.0,Overdue
127,15,5,2024-09-12,2023-10-04,2023-11-05,1236.0,Paid
128,15,5,2024-03-09,2024-12-22,2024-06-22,1212.0,Paid
129,15,5,2024-11-13,2023-11-29,,1020.0,Paid
130,15,5,2024-04-24,2023-12-28,2024-06-07,960.0,Paid
131,15,5,2023-06-05,2024-08-13,2024-11-28,1176.0,Paid
132,15,5,2023-08-18,2024-05-11,,1296.0,Paid
133,15,5,2023-01-01,2023-06-24,2023-04-27,1224.0,Paid
134,15,5,2023-09-04,2024-01-06,2023-03-05,1440.0,Overdue
135,15,5,2024-03-03,2023-04-06,2024-05-06,1368.0,Paid
136,15,5,2024-01-21,2024-06-16,2023-06-15,1164.0,Paid
137,15,5,2024-10-11,2024-10-18,2023-03-24,1416.0,Paid
138,15,5,2023-10-14,2024-12-21,,1236.0,Paid
139,15,5,2023-10-23,2023-07-06,2024-09-06,1380.0,Paid
140,15,5,2023-12-25,2024-04-11,2024-07-11,972.0,Paid
141,15,5,2023-11-11,2024-03-18,2024-07-13,1320.0,Paid
142,15,5,2024-04-13,2024-11-11,2023-07-06,1188.0,Paid
143,15,5,2024-01-11,2023-07-19,2023-05-04,1284.0,Paid
144,15,5,2023-03-16,2023-09-18,2023-08-26,1080.0,Paid
145,15,5,2024-08-10,2024-05-12,2023-05-12,960.0,Paid
146,15,5,2024-08-26,2023-08-19,2023-09-21,1440.0,Paid
147,15,5,2023-08-12,2023-05-19,2023-01-30,1068.0,Paid
148,15,5,2024-08-06,2024-07-14,2023-09-09,1260.0,Paid
149,15,5,2024-04-20,2024-06-01,2025-01-11,1188.0,Paid
150,15,5,2024-05-23,2023-07-01,2023-09-02,1008.0,Overdue
151,18,5,2024-09-26,2023-09-01,2023-09-22,294.0,Paid
152,18,5,2024-03-26,2024-03-23,2023-12-31,357.0,Paid
153,18,5,2023-01-07,2023-05-28,,330.0,Paid
154,18,5,2023-03-25,2025-01-05,2023-12-16,261.0,Paid
155,18,5,2024-10-17,2025-01-23,2024-10-27,312.0,Paid
156,18,5,2024-07-04,2024-05-24,2023-12-14,309.0,Paid
157,18,5,2023-11-07,2024-06-11,2023-01-04,333.0,Paid
158,18,5,2023-03-19,2023-09-25,2024-12-04,297.0,Paid
159,18,5,2023-12-30,2024-02-27,2023-09-23,294.0,Paid
160,18,5,2024-10-10,2024-11-15,2024-02-22,309.0,Paid
161,18,5,2024-01-25,2024-10-27,2024-05-23,285.0,Paid
162,18,5,2023-11-16,2023-07-09,2024-11-07,252.0,Paid
163,18,5,2024-05-14,2023-07-15,2024-12-07,261.0,Paid
164,18,5,2023-01-10,2023-10-09,,336.0,Overdue
165,18,5,2023-02-25,2024-09-20,2023-03-26,312.0,Overdue
166,18,5,2023-12-15,2024-06-15,2023-02-20,252.0,Overdue
167,18,5,2024-03-22,2024-09-29,,255.0,Paid
168,18,5,2023-05-28,2024-04-13,2024-04-07,273.0,Paid
169,18,5,2023-05-29,2024-07-05,2023-07-07,246.0,Overdue
170,18,5,2024-02-16,2024-12-08,2023-11-13,324.0,Paid
171,18,5,2023-10-01,2023-09-20,2024-12-31,339.0,Paid
172,18,5,2023-09-15,2024-12-25,2023-08-22,342.0,Paid
173,18,5,2024-03-16,2024-04-05,2024-08-22,330.0,Paid
174,18,5,2023-01-27,2024-04-15,2023-03-27,270.0,Paid
175,18,5,2024-03-15,2024-02-18,2023-08-09,339.0,Paid
176,19,5,2024-08-15,2023-02-15,,267.0,Paid
177,19,5,2024-08-01,2023-12-28,2023-11-28,300.0,Paid
178,19,5,2023-07-12,2024-12-24,2023-11-06,261.0,Paid
179,19,5,2024-07-04,2023-06-27,2024-10-14,354.0,Paid
180,19,5,2023-07-21,2023-05-07,2023-08-12,291.0,Overdue
181,19,5,2023-11-12,2024-01-26,2024-02-19,246.0,Paid
182,19,5,2023-04-23,2024-02-19,2024-10-04,264.0,Paid
183,19,5,2023-05-16,2024-06-11,2023-10-25,321.0,Paid
184,19,5,2023-06-01,2023-09-20,2024-11-05,315.0,Paid
185,19,5,2024-07-04,2024-09-27,,297.0,Paid
186,19,5,2023-11-13,2024-12-10,2024-08-13,270.0,Paid
187,19,5,2023-03-04,2024-11-06,2023-10-02,306.0,Overdue
188,19,5,2024-09-21,2023-05-17,2024-10-29,261.0,Paid
189,19,5,2023-05-08,2023-05-07,2024-02-26,297.0,Paid
190,19,5,2024-11-26,2025-01-01,,270.0,Paid
191,19,5,2023-02-28,2023-10-11,2023-08-25,282.0,Paid
192,19,5,2024-03-26,2023-10-06,2024-09-26,276.0,Overdue
193,19,5,2024-10-23,2023-05-03,2024-05-05,330.0,Paid
194,19,5,2024-02-04,2024-02-13,2023-09-24,240.0,Paid
195,19,5,2023-05-23,2024-06-05,,258.0,Overdue
196,19,5,2023-10-13,2024-07-15,2023-12-17,285.0,Overdue
197,19,5,2023-09-17,2025-01-07,2024-12-31,300.0,Paid
198,19,5,2024-02-16,2023-03-06,2023-04-24,306.0,Paid
199,19,5,2023-09-05,2024-08-28,2024-07-17,291.0,Paid
200,19,5,2024-02-06,2023-11-05,2023-11-27,249.0,Paid
201,20,5,2023-10-11,2023-06-27,2024-07-23,258.0,Paid
202,20,5,2024-04-07,2024-06-12,2023-08-20,330.0,Paid
203,20,5,2023-02-19,2024-08-20,,252.0,Paid
204,20,5,2024-03-01,2023-04-07,2023-05-01,339.0,Overdue
205,20,5,2023-08-09,2023-02-21,2023-12-04,288.0,Paid
206,20,5,2023-11-01,2023-02-06,2023-08-02,357.0,Paid
207,20,5,2023-12-30,2023-04-08,2023-05-17,279.0,Paid
208,20,5,2024-04-06,2023-12-25,2023-11-23,333.0,Paid
209,20,5,2023-07-28,2023-07-18,2024-07-02,270.0,Paid
210,20,5,2024-01-29,2023-05-06,2023-12-30,324.0,Paid
211,20,5,2024-07-10,2024-07-26,,285.0,Paid
212,20,5,2023-06-15,2023-03-23,2024-01-20,288.0,Paid
213,20,5,2023-05-14,2024-02-28,2023-12-25,273.0,Overdue
214,20,5,2024-07-03,2024-04-08,2023-07-11,261.0,Paid
215,20,5,2023-04-01,2023-02-17,2023-02-08,351.0,Paid
216,20,5,2023-09-13,2024-07-18,2024-03-06,288.0,Paid
217,20,5,2024-12-30,2023-10-08,,261.0,Paid
218,20,5,2023-09-05,2024-02-26,2023-12-25,360.0,Paid
219,20,5,2024-10-21,2024-05-06,2024-03-25,273.0,Paid
220,20,5,2023-01-19,2024-02-25,2024-05-17,246.0,Paid
221,20,5,2023-11-08,2024-10-07,2023-06-11,288.0,Paid
222,20,5,2024-04-01,2024-06-07,2024-05-06,354.0,Paid
223,20,5,2023-08-24,2023-02-17,2023-01-21,291.0,Paid
224,20,5,2024-02-27,2023-07-31,2024-04-14,246.0,Paid
225,20,5,2024-02-05,2024-08-31,,357.0,Paid
226,23,5,2023-03-10,2024-05-01,2023-05-04,312.0,Paid
227,23,5,2024-03-11,2024-02-13,2023-01-26,339.0,Paid
228,23,5,2024-01-09,2023-10-27,,264.0,Paid
229,23,5,2023-11-06,2024-03-03,2024-05-13,330.0,Paid
230,23,5,2024-06-23,2024-11-11,2023-12-18,309.0,Overdue
231,23,5,2023-12-06,2024-01-04,2024-08-09,240.0,Paid
232,23,5,2024-07-13,2024-05-21,2024-07-13,279.0,Overdue
233,23,5,2023-08-28,2024-03-15,,276.0,Paid
234,23,5,2023-05-08,2024-09-21,2023-05-22,318.0,Paid
235,23,5,2024-01-25,2024-04-30,2024-04-05,303.0,Paid
236,23,5,2024-03-28,2024-02-25,2024-09-08,303.0,Paid
237,23,5,2023-11-04,2023-03-26,2024-03-07,255.0,Paid
238,23,5,2024-09-15,2024-07-20,2023-08-16,261.0,Paid
239,23,5,2024-08-25,2024-02-15,2024-12-20,294.0,Paid
240,23,5,2024-05-08,2023-12-07,2024-08-23,303.0,Overdue
241,23,5,2024-07-21,2024-03-06,2024-02-18,249.0,Paid
242,23,5,2024-11-11,2024-05-21,2023-12-03,330.0,Overdue
243,23,5,2023-08-01,2024-09-07,2024-01-29,345.0,Paid
244,23,5,2024-04-30,2024-03-26,,327.0,Paid
245,23,5,2023-09-28,2024-08-10,,294.0,Paid
246,23,5,2023-03-19,2023-12-02,,336.0,Paid
247,23,5,2023-12-26,2024-03-06,,360.0,Paid
248,23,5,2023-11-13,2023-10-19,2023-12-13,294.0,Paid
249,23,5,2024-04-16,2023-10-09,,339.0,Paid
250,23,5,2023-07-02,2023-03-15,,276.0,Overdue
251,24,5,2024-01-09,2023-05-21,2024-10-22,972.0,Paid
252,24,5,2023-05-02,2023-10-16,,1404.0,Overdue
253,24,5,2024-06-11,2024-12-22,,1356.0,Paid
254,24,5,2024-04-21,2024-10-03,2023-10-13,1332.0,Paid
255,24,5,2023-09-06,2024-09-03,,960.0,Paid
256,24,5,2024-05-31,2024-02-16,2023-09-27,1320.0,Written Off
257,24,5,2023-10-16,2023-12-01,2023-11-27,1428.0,Paid
258,24,5,2024-06-25,2024-12-20,2024-06-19,1320.0,Paid
259,24,5,2024-04-19,2024-04-06,2024-10-23,1068.0,Paid
260,24,5,2024-11-01,2025-01-04,,1020.0,Paid
261,24,5,2024-07-14,2024-01-30,2024-10-25,1056.0,Paid
262,24,5,2023-03-24,2023-07-05,2023-02-14,1416.0,Overdue
263,24,5,2024-03-08,2023-02-23,2024-12-07,1308.0,Paid
264,24,5,2023-04-26,2023-03-24,2023-12-05,1392.0,Paid
265,24,5,2023-05-20,2023-08-10,2023-08-20,1332.0,Overdue
266,24,5,2023-11-05,2025-01-10,2024-04-19,1032.0,Paid
267,24,5,2023-12-09,2023-10-05,2023-09-08,1368.0,Paid
268,24,5,2023-01-12,2023-09-03,,1068.0,Paid
269,24,5,2023-06-25,2024-05-16,2024-05-24,984.0,Paid
270,24,5,2023-07-03,2023-11-14,2023-01-20,1236.0,Overdue
271,24,5,2024-02-02,2024-05-31,2024-08-29,1176.0,Paid
272,24,5,2024-11-07,2024-10-09,2023-09-01,1164.0,Paid
273,24,5,2023-09-16,2024-06-20,2024-06-17,1224.0,Paid
274,24,5,2023-08-29,2023-11-26,2023-01-23,1260.0,Overdue
275,24,5,2023-02-20,2024-12-25,2024-11-29,1176.0,Paid
276,27,5,2024-09-22,2024-07-07,2023-09-15,324.0,Paid
277,27,5,2024-03-10,2023-10-05,,279.0,Paid
278,27,5,2024-07-23,2024-01-20,,330.0,Paid
279,27,5,2023-03-01,2023-07-26,2024-01-08,285.0,Paid
280,27,5,2023-10-26,2024-02-04,2024-02-15,264.0,Paid
281,27,5,2023-12-05,2024-09-25,2023-11-11,333.0,Paid
282,27,5,2023-07-09,2024-03-12,2024-09-07,267.0,Paid
283,27,5,2024-03-02,2024-03-25,2023-03-21,327.0,Paid
284,27,5,2023-04-07,2023-09-17,2024-07-19,279.0,Paid
285,27,5,2024-03-23,2024-06-20,,324.0,Paid
286,27,5,2024-02-14,2024-10-20,2024-12-24,315.0,Paid
287,27,5,2023-07-15,2025-01-01,2023-09-28,327.0,Overdue
288,27,5,2024-10-29,2024-07-25,2025-01-15,252.0,Paid
289,27,5,2023-12-28,2024-04-04,2024-05-14,243.0,Paid
290,27,5,2023-06-08,2023-03-28,2023-12-12,273.0,Paid
291,27,5,2023-03-03,2024-02-17,2024-05-25,354.0,Overdue
292,27,5,2023-01-05,2024-08-18,2023-12-02,339.0,Paid
293,27,5,2024-10-12,2024-10-09,,243.0,Paid
294,27,5,2023-04-23,2024-01-22,2023-10-23,321.0,Paid
295,27,5,2024-05-02,2025-01-03,2024-10-22,345.0,Paid
296,27,5,2024-06-11,2023-06-06,2023-10-01,327.0,Overdue
297,27,5,2023-04-18,2024-08-26,,321.0,Paid
298,27,5,2023-08-10,2023-09-15,,330.0,Paid
299,27,5,2023-03-06,2024-08-17,2024-03-05,288.0,Paid
300,27,5,2023-05-13,2024-04-14,2023-03-29,309.0,Paid
301,30,5,2023-03-25,2023-12-27,2025-01-01,345.0,Overdue
302,30,5,2024-08-27,2024-03-20,,249.0,Paid
303,30,5,2024-02-10,2024-02-04,2024-04-07,294.0,Paid
304,30,5,2024-06-18,2024-11-23,2024-05-13,327.0,Paid
305,30,5,2024-01-13,2024-05-14,2024-04-17,309.0,Overdue
306,30,5,2023-09-27,2023-12-09,2023-12-10,276.0,Paid
307,30,5,2023-02-12,2024-12-04,2023-03-09,312.0,Paid
308,30,5,2024-10-18,2024-03-04,2024-12-25,342.0,Paid
309,30,5,2024-12-24,2023-06-21,,360.0,Paid
310,30,5,2024-07-27,2024-02-12,,267.0,Overdue
311,30,5,2023-09-21,2024-03-19,2024-02-26,297.0,Paid
312,30,5,2023-01-01,2023-07-28,2024-11-05,297.0,Paid
313,30,5,2023-07-03,2023-09-01,,291.0,Written Off
314,30,5,2024-12-04,2023-08-15,2024-01-11,270.0,Paid
315,30,5,2023-03-07,2023-03-26,2024-04-13,294.0,Paid
316,30,5,2023-05-15,2024-01-16,2024-10-02,246.0,Paid
317,30,5,2024-11-18,2024-03-21,2024-11-04,315.0,Paid
318,30,5,2024-04-04,2023-05-11,2023-03-01,357.0,Paid
319,30,5,2023-09-20,2023-07-30,2024-09-27,330.0,Paid
320,30,5,2024-08-12,2024-02-26,,315.0,Paid
321,30,5,2024-03-21,2023-06-11,2023-08-01,270.0,Paid
322,30,5,2023-09-14,2024-03-02,2024-03-29,279.0,Paid
323,30,5,2024-02-08,2023-11-06,2023-08-20,309.0,Paid
324,30,5,2024-06-17,2023-11-17,,243.0,Paid
325,30,5,2023-06-23,2024-04-09,2023-10-19,342.0,Paid
326,36,5,2024-10-25,2023-02-09,,1248.0,Overdue
327,36,5,2024-03-14,2025-01-03,2024-03-30,1104.0,Paid
328,36,5,2024-12-28,2024-06-21,,1092.0,Paid
329,36,5,2023-02-02,2024-02-25,2024-09-23,1116.0,Paid
330,36,5,2024-11-25,2024-12-08,2024-11-01,996.0,Paid
331,36,5,2024-03-10,2024-10-12,2023-07-27,1332.0,Paid
332,36,5,2024-10-16,2023-10-01,2024-08-03,1224.0,Paid
333,36,5,2023-09-09,2024-09-16,2023-11-06,1248.0,Overdue
334,36,5,2024-01-07,2024-07-26,,1428.0,Paid
335,36,5,2024-06-16,2023-02-17,,1200.0,Overdue
336,36,5,2024-12-26,2024-04-09,2023-12-13,1260.0,Paid
337,36,5,2023-06-07,2024-02-14,2024-08-19,1272.0,Paid
338,36,5,2023-02-11,2024-08-10,2023-07-05,1056.0,Paid
339,36,5,2023-01-28,2024-08-29,2024-05-09,1008.0,Paid
340,36,5,2024-08-14,2023-10-01,2023-01-30,1320.0,Overdue
341,36,5,2024-04-12,2024-01-05,,1140.0,Paid
342,36,5,2023-05-26,2024-02-13,2023-08-24,1248.0,Paid
343,36,5,2023-10-27,2023-08-01,2023-05-05,1380.0,Paid
344,36,5,2023-09-09,2024-10-28,,1032.0,Paid
345,36,5,2023-07-25,2024-10-18,,1164.0,Paid
346,36,5,2024-06-18,2025-01-04,2024-12-09,1212.0,Paid
347,36,5,2023-04-25,2024-05-18,2024-05-17,1356.0,Overdue
348,36,5,2024-05-19,2024-01-29,2023-12-26,1212.0,Paid
349,36,5,2024-01-09,2023-08-06,2023-01-21,1416.0,Paid
350,36,5,2023-12-12,2023-03-16,2024-05-30,1320.0,Paid
351,40,5,2023-03-06,2024-06-26,2023-12-14,315.0,Paid
352,40,5,2023-02-18,2023-12-28,,345.0,Paid
353,40,5,2023-04-30,2023-12-12,2023-05-18,255.0,Paid
354,40,5,2024-02-24,2024-09-25,2024-12-19,351.0,Paid
355,40,5,2023-05-15,2023-03-16,2023-10-11,312.0,Paid
356,40,5,2023-01-28,2024-10-24,,330.0,Paid
357,40,5,2024-03-26,2023-09-27,2024-08-15,306.0,Paid
358,40,5,2024-11-19,2024-05-24,2023-08-01,270.0,Paid
359,40,5,2023-07-11,2023-11-10,2024-07-27,261.0,Paid
360,40,5,2023-05-12,2024-01-15,2023-04-01,276.0,Paid
361,40,5,2023-06-16,2023-05-11,2024-03-05,345.0,Paid
362,40,5,2023-07-24,2023-09-07,2023-04-27,318.0,Paid
363,40,5,2024-07-10,2024-03-22,,327.0,Paid
364,40,5,2024-12-14,2024-11-17,,261.0,Paid
365,40,5,2024-12-22,2024-08-26,2024-09-15,252.0,Paid
366,40,5,2024-10-15,2024-04-26,2024-12-01,249.0,Paid
367,40,5,2023-03-22,2024-05-06,2024-05-23,240.0,Overdue
368,40,5,2023-06-03,2024-01-02,2023-05-28,351.0,Paid
369,40,5,2024-06-11,2023-08-16,2025-01-02,351.0,Overdue
370,40,5,2024-01-25,2023-11-01,,330.0,Paid
371,40,5,2023-09-10,2024-02-15,,261.0,Paid
372,40,5,2023-03-04,2023-08-02,,264.0,Paid
373,40,5,2023-11-27,2024-05-06,2023-08-17,300.0,Paid
374,40,5,2024-04-06,2023-02-12,2024-05-26,273.0,Paid
375,40,5,2023-01-13,2024-12-05,,261.0,Paid
376,41,5,2024-11-12,2023-07-14,,330.0,Paid
377,41,5,2024-07-22,2024-04-03,2024-03-11,285.0,Overdue
378,41,5,2024-04-06,2024-08-11,2023-04-03,306.0,Paid
379,41,5,2024-06-01,2023-11-05,2024-11-20,291.0,Overdue
380,41,5,2023-08-22,2024-07-07,2023-03-24,249.0,Paid
381,41,5,2024-08-29,2024-06-21,2024-06-03,351.0,Paid
382,41,5,2024-10-09,2024-01-04,2024-04-13,288.0,Paid
383,41,5,2023-06-28,2023-08-06,2024-07-25,339.0,Paid
384,41,5,2023-09-15,2024-09-24,,321.0,Paid
385,41,5,2023-08-10,2024-08-12,2024-08-13,258.0,Paid
386,41,5,2023-11-25,2023-09-19,,276.0,Paid
387,41,5,2024-12-17,2023-02-24,2024-08-10,339.0,Paid
388,41,5,2024-06-19,2024-08-11,2023-06-02,294.0,Paid
389,41,5,2023-01-30,2024-01-19,2024-05-21,267.0,Paid
390,41,5,2023-12-31,2023-03-09,,276.0,Paid
391,41,5,2023-01-20,2024-03-13,,345.0,Paid
392,41,5,2024-03-05,2023-06-23,2023-01-10,288.0,Paid
393,41,5,2023-05-11,2023-10-06,2024-03-11,279.0,Paid
394,41,5,2024-06-16,2023-04-25,,249.0,Paid
395,41,5,2024-06-22,2023-04-04,2023-11-05,342.0,Paid
396,41,5,2024-08-03,2024-06-21,,243.0,Paid
397,41,5,2023-08-14,2023-04-28,2023-11-16,336.0,Paid
398,41,5,2024-11-18,2024-07-20,2023-03-19,339.0,Paid
399,41,5,2024-03-27,2023-05-23,2024-07-21,345.0,Paid
400,41,5,2023-12-18,2024-03-18,2023-11-24,270.0,Paid
401,42,5,2023-03-31,2023-07-21,2023-06-02,354.0,Paid
402,42,5,2023-11-06,2024-05-25,2024-04-20,318.0,Paid
403,42,5,2024-05-26,2024-07-26,2023-03-31,315.0,Paid
404,42,5,2024-01-13,2024-07-04,2023-05-21,240.0,Overdue
