usage_id,account_id,usage_date,active_users,logins,feature_a_events,feature_b_events
155,2,2023-10-03,17,235,17,16
156,2,2023-03-14,58,180,29,34
157,2,2023-02-07,54,220,22,15
158,2,2024-08-09,47,180,64,26
159,2,2024-02-13,54,126,58,9
160,2,2023-08-04,15,128,15,16
161,2,2024-07-16,48,102,107,96
162,2,2023-06-09,52,29,84,89
163,2,2023-01-31,38,280,69,37
164,2,2024-09-22,18,184,36,18
165,2,2024-09-06,24,22,141,44
166,2,2024-02-25,50,54,36,43
167,2,2024-09-06,58,184,122,13
168,2,2024-07-18,46,186,206,115
169,2,2024-07-09,60,38,95,37
170,2,2023-05-27,50,46,126,23
171,2,2023-12-01,58,52,27,35
172,2,2024-08-24,46,98,207,6
173,2,2023-12-19,41,88,75,88
174,2,2023-07-14,22,48,43,8
175,2,2023-04-21,16,300,43,36
176,2,2024-05-21,60,24,142,139
177,2,2023-05-31,20,90,147,46
178,2,2024-08-31,35,38,116,36
179,2,2023-03-10,45,37,12,8
180,2,2024-03-27,46,144,171,25
181,2,2023-12-16,48,195,31,69
182,2,2024-08-13,58,270,115,11
183,2,2023-12-17,42,42,24,58
184,2,2024-07-11,22,282,77,43
185,2,2023-05-04,33,16,76,62
186,2,2024-11-14,28,110,105,140
187,2,2024-07-21,17,28,184,51
188,2,2024-12-05,32,290,38,89
189,2,2023-02-14,38,196,241,82
190,2,2023-05-06,39,54,22,35
191,2,2024-12-07,46,168,15,4
192,2,2023-02-22,36,144,92,11
193,2,2024-06-04,45,108,16,71
194,2,2024-07-02,24,285,11,7
195,2,2023-08-13,47,195,60,23
196,2,2023-04-05,24,250,19,23
197,2,2023-01-09,57,148,61,18
198,2,2023-09-18,60,93,132,75
199,2,2023-09-03,21,108,86,8
200,2,2024-07-03,19,128,61,28
201,2,2024-08-08,22,148,81,25
202,2,2023-09-22,23,108,76,6
203,2,2024-10-22,25,264,136,55
204,2,2024-07-22,45,236,14,19
205,2,2023-09-01,25,35,123,74
206,2,2024-03-18,28,220,59,56
207,2,2023-07-23,26,45,17,45
208,2,2024-07-15,60,108,28,38
209,2,2023-02-17,22,52,72,28
210,2,2023-08-22,16,57,270,29
211,2,2024-06-02,53,124,45,39
212,2,2024-08-14,54,114,161,99
213,2,2024-03-24,31,90,36,62
214,2,2023-12-22,30,15,63,17
215,2,2023-05-24,51,82,27,89
216,2,2023-11-28,38,150,36,25
217,2,2024-03-20,36,282,160,11
218,2,2023-04-18,42,15,189,15
219,2,2024-10-29,28,59,43,20
220,2,2024-12-02,56,255,48,44
221,2,2023-01-04,19,60,22,30
222,2,2024-01-01,42,118,82,3
223,2,2023-12-02,31,58,227,19
224,2,2023-03-27,45,180,99,50
225,2,2023-10-01,49,76,130,30
226,2,2024-06-28,36,90,29,48
227,2,2023-03-21,39,32,14,11
228,2,2023-08-06,60,144,99,19
229,2,2023-12-09,43,102,41,8
230,2,2024-02-03,27,190,235,28
231,2,2024-12-08,46,93,24,17
232,2,2024-07-27,45,60,48,18
233,2,2023-02-05,16,132,78,34
234,2,2023-09-11,36,230,17,17
235,2,2024-01-02,48,136,88,50
236,2,2023-01-28,24,80,12,19
237,2,2023-12-05,16,110,82,26
238,2,2024-12-02,52,180,60,17
239,2,2024-10-14,35,85,43,4
240,2,2023-08-16,45,318,77,139
241,3,2024-09-10,27,114,86,33
242,3,2023-10-08,15,130,37,99
243,3,2023-08-15,59,74,34,9
244,3,2024-09-26,16,48,16,39
245,3,2024-04-19,59,75,58,22
246,3,2024-12-14,50,90,100,9
247,3,2023-01-06,43,184,259,80
248,3,2024-09-15,31,240,21,8
249,3,2024-09-30,24,192,38,13
250,3,2024-08-23,21,300,95,25
251,3,2024-02-16,51,39,52,44
252,3,2023-12-05,55,60,45,112
253,3,2023-10-01,60,27,17,14
254,3,2024-04-24,21,88,60,118
255,3,2023-06-24,41,44,42,19
256,3,2023-11-08,25,145,112,33
257,3,2023-09-09,60,171,72,21
258,3,2024-04-06,17,50,41,14
259,3,2023-10-30,56,168,87,28
260,3,2023-05-08,51,54,87,15
261,3,2024-05-28,40,58,82,29
262,3,2024-12-19,25,62,37,3
263,3,2024-12-17,44,168,35,40
264,3,2023-05-21,60,60,28,86
265,3,2023-04-14,37,120,36,93
266,3,2023-04-03,49,195,18,17
267,3,2023-01-28,41,30,80,147
268,3,2024-07-10,49,88,43,146
269,3,2024-03-12,46,155,293,51
270,3,2024-04-10,34,336,96,8
271,3,2024-04-13,27,180,52,54
272,3,2024-05-15,57,21,31,29
273,3,2024-04-24,40,245,17,56
274,3,2024-09-26,44,72,8,12
275,3,2023-06-02,40,285,141,20
276,3,2024-03-24,53,228,171,48
277,3,2023-01-28,19,34,32,36
278,3,2023-08-20,27,58,115,19
279,3,2023-01-10,38,56,13,19
280,3,2024-07-24,58,235,118,10
281,3,2023-07-03,26,92,41,47
282,3,2023-04-26,46,114,94,16
283,3,2023-11-03,47,275,53,17
284,3,2024-07-04,28,18,109,92
285,3,2023-01-24,48,96,112,26
286,3,2024-03-23,43,88,61,53
287,3,2023-07-28,53,130,12,31
288,3,2023-12-30,26,38,72,79
289,3,2024-04-25,45,300,18,28
290,3,2023-03-06,22,324,92,97
291,3,2023-12-24,28,40,55,6
292,3,2023-03-11,60,276,32,92
293,3,2024-05-05,38,120,160,42
294,3,2024-12-08,60,208,29,10
295,3,2023-11-03,56,144,197,43
296,3,2023-04-12,42,36,29,5
297,3,2023-07-15,58,100,78,14
298,3,2024-02-22,45,162,42,44
299,3,2023-05-10,26,58,39,63
300,3,2024-05-19,21,148,51,44
301,3,2024-11-21,27,129,19,32
302,3,2024-12-11,18,165,10,88
303,3,2024-11-29,16,198,18,74
304,3,2023-06-28,33,204,49,36
305,3,2024-10-24,20,230,73,82
306,3,2024-09-18,46,60,74,25
307,3,2023-08-14,58,105,68,71
308,3,2023-12-26,56,255,165,29
309,3,2023-10-11,25,50,74,6
310,3,2024-04-27,36,20,44,38
311,3,2024-04-22,25,330,48,54
312,3,2023-01-28,42,198,151,11
313,3,2024-04-06,27,130,61,7
314,3,2024-01-15,32,360,61,34
315,3,2023-04-29,22,100,15,32
316,3,2023-12-22,29,235,126,30
317,3,2023-03-21,37,240,37,14
318,3,2024-07-03,25,265,64,21
319,3,2024-01-25,40,165,120,86
320,3,2023-04-10,60,160,59,35
321,3,2024-06-11,37,87,25,26
322,3,2023-09-22,47,234,22,59
323,3,2024-09-15,45,216,42,7
324,3,2024-01-01,32,59,53,22
325,3,2024-03-02,46,58,52,31
326,3,2023-04-22,42,150,92,8
327,3,2024-11-26,31,174,80,155
328,3,2024-06-04,32,81,52,8
329,3,2024-01-12,59,41,30,67
330,3,2024-02-01,56,300,37,44
331,3,2024-01-26,46,76,50,125
332,3,2024-01-03,58,184,76,17
333,3,2024-09-22,17,60,26,15
334,3,2024-08-31,46,88,21,4
335,3,2023-08-23,57,228,158,10
336,3,2023-12-19,34,175,34,21
337,3,2024-07-24,60,295,14,5
338,3,2023-08-24,30,192,261,20
339,3,2024-12-18,56,160,152,17
340,3,2023-05-09,31,26,20,15
341,3,2023-02-27,18,168,66,40
342,3,2024-01-24,17,75,17,105
343,3,2024-04-11,43,200,72,20
344,3,2023-04-13,33,99,118,10
345,3,2024-03-26,24,63,18,72
346,3,2024-07-31,42,57,92,20
347,3,2024-09-13,37,90,226,14
348,3,2023-03-09,28,48,29,6
349,3,2024-06-14,17,172,109,40
350,3,2024-02-10,25,18,27,48
351,3,2023-04-09,60,348,110,32
352,3,2023-08-23,36,176,125,12
353,3,2023-03-23,19,280,47,71
354,3,2024-08-28,29,46,117,26
355,3,2023-02-02,16,172,71,12
356,3,2024-08-06,36,42,124,5
357,3,2024-05-14,57,171,27,14
358,3,2023-06-22,52,57,85,16
359,3,2023-04-27,50,348,88,37
360,3,2023-02-10,51,45,169,18
361,4,2023-03-14,6,30,9,35
362,4,2024-04-24,10,44,63,2
363,4,2024-10-09,3,15,37,19
364,4,2024-10-03,7,42,6,9
365,4,2024-08-16,12,26,29,9
366,4,2024-07-21,6,12,1,3
367,4,2024-11-25,10,72,8,14
368,4,2024-10-07,6,33,2,9
369,4,2023-10-01,7,24,25,22
370,4,2024-05-29,8,36,37,11
371,4,2023-11-29,14,30,24,10
372,4,2023-06-17,11,24,10,13
373,4,2023-11-28,13,6,11,13
374,4,2024-05-15,12,24,10,5
375,4,2024-06-09,5,90,10,3
376,4,2023-03-12,11,44,26,8
377,4,2023-11-18,8,44,42,11
378,4,2023-05-16,8,42,12,26
379,4,2024-07-20,9,27,44,1
380,4,2023-03-23,4,30,9,4
381,4,2024-05-17,3,32,49,23
382,4,2024-04-28,6,55,10,6
383,4,2024-08-03,5,42,15,19
384,4,2023-10-02,7,48,6,3
385,4,2023-02-23,3,84,2,18
386,4,2023-07-19,14,24,21,1
387,4,2024-02-29,6,33,4,7
388,4,2023-05-31,13,28,53,4
389,4,2024-02-02,7,7,10,3
390,4,2023-04-11,7,8,14,5
391,4,2024-03-30,11,44,6,2
392,4,2023-07-13,12,44,14,3
393,4,2024-09-24,4,14,7,12
394,4,2023-06-10,6,24,14,19
395,4,2023-04-22,4,12,25,7
396,4,2024-05-20,12,55,10,13
397,4,2023-02-01,13,21,11,2
398,4,2024-05-30,10,78,26,1
399,4,2023-10-25,7,24,22,19
400,4,2024-11-28,9,9,6,17
401,4,2023-08-24,5,24,10,12
402,4,2024-03-12,12,12,4,21
403,4,2024-04-17,6,84,6,14
404,4,2024-12-06,12,20,51,17
405,4,2023-09-25,11,15,16,3
406,4,2024-12-10,5,26,24,8
407,4,2024-01-15,11,28,15,1
408,4,2024-09-21,15,60,1,4
409,4,2023-05-24,13,20,34,18
410,4,2024-06-03,8,42,67,2
411,4,2024-10-11,4,30,8,3
412,4,2023-02-24,5,8,18,7
413,4,2023-01-26,6,60,41,8
414,4,2024-04-09,9,12,9,10
415,4,2023-03-19,10,11,22,33
416,4,2024-10-16,8,39,8,12
417,4,2024-01-13,9,28,22,8
418,4,2024-04-01,14,20,23,2
419,4,2024-08-14,4,21,34,2
420,4,2023-09-03,5,6,7,21
421,4,2024-09-06,11,20,14,5
422,4,2023-12-25,6,28,8,0
423,4,2023-04-24,7,30,4,1
424,4,2024-07-29,15,10,3,0
425,4,2023-01-28,8,60,35,13
426,4,2024-08-16,3,52,10,18
427,4,2023-07-23,3,16,29,6
428,4,2024-07-17,5,7,10,3
429,4,2023-07-18,4,72,9,10
430,4,2023-05-18,10,20,10,30
431,4,2023-03-21,5,70,6,7
432,4,2023-03-12,13,24,25,18
433,4,2023-01-30,5,50,48,8
434,4,2023-03-23,6,15,10,5
435,4,2023-03-30,13,20,55,3
436,4,2024-03-06,11,12,6,2
437,4,2023-08-06,7,52,5,3
438,4,2023-05-04,11,21,40,8
439,4,2023-03-04,14,4,3,27
440,4,2023-12-26,12,6,16,17
441,4,2023-06-03,7,30,53,4
442,4,2023-08-10,6,84,51,4
443,4,2024-03-20,14,12,27,5
444,4,2024-01-16,9,12,10,7
445,4,2024-12-22,7,8,4,12
446,4,2023-12-02,11,12,21,0
447,4,2023-03-28,8,30,28,3
448,4,2024-05-20,9,78,12,5
449,4,2024-09-23,4,4,16,3
450,4,2023-12-12,3,22,13,9
451,4,2024-05-10,12,12,13,9
452,4,2023-08-09,15,50,20,18
453,4,2024-02-07,13,14,2,4
454,4,2024-10-13,4,7,25,0
455,4,2023-10-22,5,21,9,6
456,4,2024-07-16,3,5,3,2
457,4,2024-01-30,12,20,7,0
458,4,2024-10-02,14,33,12,8
459,4,2024-04-23,15,32,13,4
460,4,2024-06-19,8,14,3,9
461,4,2024-01-17,4,18,11,6
462,4,2023-06-03,7,4,35,7
463,4,2024-02-14,3,15,25,2
464,4,2023-06-05,10,36,15,8
465,4,2024-11-05,13,10,8,16
466,4,2023-02-04,9,30,20,9
467,4,2024-02-22,12,60,4,26
468,4,2024-02-11,3,66,46,8
469,4,2024-02-18,10,20,6,4
470,4,2024-06-06,9,15,5,9
471,4,2024-06-26,9,45,41,2
472,4,2023-02-03,7,12,37,29
473,4,2023-10-05,14,45,34,5
474,4,2024-10-29,11,10,3,3
475,4,2024-10-16,5,42,7,15
476,4,2024-05-02,9,65,7,4
477,4,2023-10-24,14,40,28,2
478,4,2024-09-21,11,12,15,5
479,4,2023-12-17,13,24,26,12
480,4,2023-03-30,14,20,18,6
481,5,2023-07-24,10,30,8,22
482,5,2023-05-31,10,15,18,12
483,5,2024-09-29,13,35,13,4
484,5,2023-11-03,3,39,14,7
485,5,2024-11-11,7,24,3,2
486,5,2024-11-20,9,15,15,18
487,5,2023-01-27,6,56,7,19
488,5,2023-09-10,11,28,2,10
489,5,2023-06-17,5,32,6,3
490,5,2023-05-20,7,75,29,6
491,5,2023-06-12,6,13,13,10
492,5,2023-09-02,9,42,13,28
493,5,2023-07-31,6,32,3,11
494,5,2024-04-08,14,25,36,15
495,5,2023-09-14,3,18,42,11
496,5,2023-05-21,12,27,26,23
497,5,2023-05-11,14,16,30,4
498,5,2023-12-13,10,66,25,11
499,5,2023-11-23,14,9,8,5
500,5,2023-01-29,14,36,17,4
501,5,2023-10-01,15,70,7,15
502,5,2024-10-19,4,36,6,2
503,5,2024-03-30,10,52,61,9
504,5,2024-07-02,11,9,29,2
505,5,2024-02-05,5,4,8,4
506,5,2024-04-03,15,40,22,4
507,5,2024-10-25,7,15,21,19
508,5,2024-02-05,11,60,30,6
509,5,2024-11-04,12,6,11,1
510,5,2023-08-04,6,39,10,25
511,5,2024-12-02,6,4,3,28
512,5,2024-03-31,5,24,12,10
513,5,2024-11-14,11,28,3,3
514,5,2024-07-01,10,48,19,2
515,5,2023-10-09,7,12,46,3
516,5,2023-09-20,6,24,12,31
517,5,2023-10-08,11,39,9,7
518,5,2024-04-21,5,36,46,13
519,5,2023-12-14,5,28,13,3
520,5,2024-09-01,7,40,9,18
521,5,2023-08-27,4,6,37,4
522,5,2023-06-05,4,55,24,10
523,5,2024-04-02,13,40,7,6
524,5,2023-06-23,8,65,5,11
525,5,2023-11-30,4,36,17,15
526,5,2023-10-11,8,55,7,16
527,5,2024-05-21,10,60,11,2
528,5,2024-04-16,7,24,15,14
529,5,2023-11-14,9,42,9,2
530,5,2023-11-28,3,20,24,8
531,5,2023-04-21,11,13,2,6
532,5,2024-05-03,14,18,8,9
533,5,2023-01-20,12,50,22,4
534,5,2024-09-09,6,9,18,9
535,5,2023-07-24,10,30,14,18
536,5,2023-03-05,15,24,9,7
537,5,2023-03-26,9,33,32,10
538,5,2024-10-16,11,28,46,2
539,5,2024-05-30,12,65,25,2
540,5,2024-11-21,4,45,33,2
541,5,2023-05-26,8,50,33,1
542,5,2023-03-25,6,20,18,9
543,5,2023-07-24,6,30,41,4
544,5,2023-11-01,15,27,4,1
545,5,2024-10-30,11,84,10,20
546,5,2024-12-13,3,9,52,7
547,5,2024-03-28,15,56,3,4
548,5,2024-05-13,11,54,6,24
549,5,2023-09-30,7,15,27,5
550,5,2024-09-12,7,8,34,7
551,5,2024-04-17,15,45,9,14
552,5,2024-11-06,10,18,31,3
553,5,2024-03-03,3,33,15,30
554,5,2023-01-22,13,55,42,3
555,5,2024-01-20,7,30,14,12
556,5,2024-02-03,12,36,24,9
557,5,2024-12-12,3,33,8,3
558,5,2024-07-15,12,21,6,9
559,5,2024-12-01,13,20,7,20
560,5,2023-03-18,5,56,7,3
561,5,2023-07-07,13,22,28,7
562,5,2024-03-14,12,20,16,25
563,5,2023-08-04,3,52,8,10
564,5,2023-11-19,5,12,25,12
565,5,2024-09-26,3,33,31,1
566,5,2023-02-28,7,55,10,5
567,5,2023-03-31,9,12,40,7
568,5,2024-11-15,11,6,27,4
569,5,2024-04-11,13,15,8,4
570,5,2024-07-02,4,72,30,1
571,5,2024-07-11,7,66,24,18
572,5,2023-09-07,5,3,22,0
573,5,2023-03-29,9,14,6,4
574,5,2024-07-26,6,35,3,12
575,5,2024-11-08,3,40,13,1
576,5,2024-05-16,7,56,26,20
577,5,2024-06-20,9,11,13,4
578,5,2024-02-26,5,14,7,32
579,5,2024-08-10,14,28,5,10
580,5,2023-04-10,12,24,34,5
581,5,2023-03-15,3,60,21,2
582,5,2023-09-07,7,27,23,9
583,5,2023-03-20,11,9,9,15
584,5,2023-05-07,8,90,22,8
585,5,2024-08-17,10,22,22,8
586,5,2023-12-28,5,30,26,4
587,5,2023-12-30,11,27,15,4
588,5,2024-06-16,13,21,6,9
589,5,2024-03-09,11,15,30,4
590,5,2024-04-07,7,32,33,4
591,5,2024-08-25,4,28,25,3
592,5,2024-07-18,10,30,20,7
593,5,2023-12-07,15,16,23,30
594,5,2024-05-05,9,60,18,4
595,5,2023-04-24,15,8,34,1
596,5,2024-02-11,5,10,19,17
597,5,2024-02-24,3,12,16,33
598,5,2024-07-23,6,7,3,2
599,5,2024-04-27,5,5,6,10
600,5,2024-06-15,5,5,11,3
601,11,2023-04-27,49,252,69,52
602,11,2023-09-08,27,29,71,74
603,11,2023-07-26,55,115,65,13
604,11,2023-02-03,15,16,39,92
605,11,2023-06-18,26,100,27,34
606,11,2023-01-24,42,120,71,16
607,11,2023-08-31,30,99,51,18
608,11,2024-04-16,32,153,62,89
609,11,2023-03-26,48,38,43,5
610,11,2023-05-28,60,25,247,45
611,11,2023-08-13,45,114,142,16
612,11,2023-01-23,40,147,94,30
613,11,2024-10-24,58,290,16,6
614,11,2023-09-20,47,270,82,51
615,11,2023-04-15,60,54,114,52
616,11,2024-10-26,54,216,124,10
617,11,2024-06-09,56,132,12,51
618,11,2024-08-02,50,53,103,11
619,11,2024-08-06,43,130,21,24
620,11,2023-05-12,56,70,156,31
621,11,2023-03-28,18,170,37,23
622,11,2023-06-21,33,21,26,64
623,11,2023-02-02,15,252,74,26
624,11,2023-02-20,32,55,69,52
625,11,2023-04-03,48,192,33,44
626,11,2023-12-28,50,162,60,57
627,11,2023-12-03,45,228,71,7
628,11,2024-11-26,27,196,20,34
629,11,2024-11-24,19,132,191,36
630,11,2024-12-21,26,51,31,77
631,11,2023-09-02,15,180,37,30
632,11,2023-01-06,19,165,59,18
633,11,2023-08-24,40,180,88,19
634,11,2023-05-22,44,135,63,45
635,11,2024-04-10,44,75,10,34
636,11,2023-11-23,26,80,15,31
637,11,2024-10-13,26,93,60,54
638,11,2023-01-23,60,140,53,4
639,11,2023-08-15,43,136,47,18
640,11,2024-03-04,41,80,93,14
641,11,2023-05-06,35,102,44,49
642,11,2024-08-16,19,180,84,17
643,11,2023-02-09,26,135,38,29
644,11,2023-10-17,26,88,74,9
645,11,2024-05-03,26,255,167,2
646,11,2023-09-11,33,196,88,19
647,11,2023-01-02,40,136,39,4
648,11,2023-08-20,30,192,38,49
649,11,2024-03-23,60,108,85,11
650,11,2024-09-13,59,48,84,9
651,11,2023-09-22,15,102,84,21
652,11,2024-05-24,36,68,229,13
653,11,2024-05-25,25,43,28,46
654,11,2024-02-25,22,200,90,39
655,11,2023-06-16,51,66,183,48
656,11,2024-09-10,37,180,63,22
657,11,2023-10-16,22,92,78,74
658,11,2023-10-01,27,64,52,64
659,11,2023-02-23,25,180,15,38
660,11,2023-01-11,46,108,20,48
661,11,2023-08-29,22,330,23,36
662,11,2023-02-13,28,150,75,23
663,11,2023-04-07,55,96,29,14
664,11,2024-03-11,16,235,63,7
665,11,2024-12-27,23,190,10,151
666,11,2023-11-14,45,186,86,5
667,11,2023-08-16,27,184,36,135
668,11,2024-10-22,21,280,66,29
669,11,2023-07-19,23,123,31,19
670,11,2023-12-04,17,28,76,31
671,11,2023-11-24,29,129,211,59
672,11,2024-07-20,26,275,31,52
673,11,2024-02-14,29,123,103,9
674,11,2023-02-20,46,128,20,34
675,11,2023-01-16,30,162,62,12
676,11,2023-09-28,18,25,112,12
677,11,2024-12-04,33,129,40,10
678,11,2024-10-27,35,54,159,44
679,11,2023-09-22,51,100,34,96
680,11,2024-11-07,51,94,59,8
681,11,2024-03-17,57,18,71,7
682,11,2023-10-30,21,270,66,19
683,11,2024-07-17,44,132,72,44
684,11,2023-05-03,37,180,28,8
685,11,2024-10-28,44,276,51,23
686,11,2024-03-29,32,105,55,27
687,11,2023-09-10,51,342,72,44
688,11,2023-03-30,29,342,38,46
689,11,2024-04-20,46,60,250,15
690,11,2024-12-04,47,204,177,30
691,11,2024-06-11,21,144,51,6
692,11,2023-08-04,25,285,67,36
693,11,2024-12-09,35,120,82,30
694,11,2023-09-10,43,116,148,75
695,11,2024-04-09,32,25,15,12
696,11,2024-06-17,52,170,31,23
697,11,2023-05-27,25,44,110,110
698,11,2024-07-20,28,168,95,77
699,11,2023-01-21,57,220,84,113
700,11,2024-04-08,27,118,68,21
701,11,2024-09-21,55,60,208,114
702,11,2024-03-17,36,228,97,31
703,11,2023-10-23,29,192,56,10
704,11,2024-04-19,35,104,35,20
705,11,2024-11-28,40,255,58,30
706,11,2023-08-12,51,80,102,14
707,11,2023-05-22,17,51,82,110
708,11,2024-02-20,38,44,179,128
709,11,2024-04-23,59,252,20,57
710,11,2024-05-26,15,84,15,22
711,11,2023-06-23,15,117,139,41
712,11,2023-05-11,31,100,72,16
713,11,2024-09-11,24,84,151,88
714,11,2023-04-03,42,19,54,41
715,11,2023-11-27,29,95,64,118
716,11,2023-01-16,50,360,33,51
717,11,2023-01-21,55,17,42,20
718,11,2024-06-05,46,300,79,29
719,11,2023-02-02,53,80,78,58
720,11,2024-01-31,46,228,21,80
721,13,2023-10-18,49,84,29,92
722,13,2024-11-13,60,76,95,66
723,13,2023-10-30,15,200,24,13
724,13,2023-09-27,32,175,70,9
725,13,2023-07-03,30,105,17,22
726,13,2023-03-16,41,300,50,14
727,13,2024-04-01,46,342,99,67
728,13,2023-04-09,47,153,49,50
729,13,2023-04-22,48,128,172,23
730,13,2024-11-14,47,123,72,5
731,13,2024-10-15,59,174,49,78
732,13,2023-04-28,28,108,190,57
733,13,2024-07-05,27,236,102,2
