account_id,account_code,account_name,region,arr_segment,month,avg_active_users,total_logins,total_feature_a_events,total_feature_b_events
2,A0002,Company 0002,Europe,Mid-Market,2023-01,34.5,568,164,104
2,A0002,Company 0002,Europe,Mid-Market,2023-02,33.2,744,505,170
2,A0002,Company 0002,Europe,Mid-Market,2023-03,43.5,675,274,308
2,A0002,Company 0002,Europe,Mid-Market,2023-04,35.2,697,304,89
2,A0002,Company 0002,Europe,Mid-Market,2023-05,40.2857142857143,686,544,351
2,A0002,Company 0002,Europe,Mid-Market,2023-06,40.0,69,137,149
2,A0002,Company 0002,Europe,Mid-Market,2023-07,24.0,93,60,53
2,A0002,Company 0002,Europe,Mid-Market,2023-08,37.5,1076,601,301
2,A0002,Company 0002,Europe,Mid-Market,2023-09,33.7142857142857,784,567,292
2,A0002,Company 0002,Europe,Mid-Market,2023-10,38.3333333333333,401,211,54
2,A0002,Company 0002,Europe,Mid-Market,2023-11,32.6666666666667,821,444,279
2,A0002,Company 0002,Europe,Mid-Market,2023-12,39.8,800,822,503
2,A0002,Company 0002,Europe,Mid-Market,2024-01,45.0,254,170,53
2,A0002,Company 0002,Europe,Mid-Market,2024-02,37.2,541,417,108
2,A0002,Company 0002,Europe,Mid-Market,2024-03,32.4,931,470,196
2,A0002,Company 0002,Europe,Mid-Market,2024-05,40.25,245,290,218
2,A0002,Company 0002,Europe,Mid-Market,2024-06,40.75,434,280,180
2,A0002,Company 0002,Europe,Mid-Market,2024-07,39.25,1523,1057,497
2,A0002,Company 0002,Europe,Mid-Market,2024-08,43.6666666666667,848,744,203
2,A0002,Company 0002,Europe,Mid-Market,2024-09,30.1666666666667,694,482,272
2,A0002,Company 0002,Europe,Mid-Market,2024-10,34.0,465,300,120
2,A0002,Company 0002,Europe,Mid-Market,2024-11,30.0,137,126,227
2,A0002,Company 0002,Europe,Mid-Market,2024-12,44.2857142857143,1092,418,301
3,A0003,Company 0003,APAC,Mid-Market,2023-01,38.5,598,647,319
3,A0003,Company 0003,APAC,Mid-Market,2023-02,28.3333333333333,385,306,70
3,A0003,Company 0003,APAC,Mid-Market,2023-03,33.2,1168,237,280
3,A0003,Company 0003,APAC,Mid-Market,2023-04,44.1,1670,659,285
3,A0003,Company 0003,APAC,Mid-Market,2023-05,42.0,198,174,179
3,A0003,Company 0003,APAC,Mid-Market,2023-06,41.5,590,317,91
3,A0003,Company 0003,APAC,Mid-Market,2023-07,45.6666666666667,322,131,92
3,A0003,Company 0003,APAC,Mid-Market,2023-08,44.5,833,761,141
3,A0003,Company 0003,APAC,Mid-Market,2023-09,53.5,405,94,80
3,A0003,Company 0003,APAC,Mid-Market,2023-10,39.0,375,215,147
3,A0003,Company 0003,APAC,Mid-Market,2023-11,42.6666666666667,564,362,93
3,A0003,Company 0003,APAC,Mid-Market,2023-12,38.0,803,497,277
3,A0003,Company 0003,APAC,Mid-Market,2024-01,40.5714285714286,960,407,456
3,A0003,Company 0003,APAC,Mid-Market,2024-02,44.25,519,158,180
3,A0003,Company 0003,APAC,Mid-Market,2024-03,42.4,592,595,255
3,A0003,Company 0003,APAC,Mid-Market,2024-04,34.0,1954,567,419
3,A0003,Company 0003,APAC,Mid-Market,2024-05,42.6,518,351,158
3,A0003,Company 0003,APAC,Mid-Market,2024-06,28.6666666666667,340,186,74
3,A0003,Company 0003,APAC,Mid-Market,2024-07,43.6666666666667,958,440,294
3,A0003,Company 0003,APAC,Mid-Market,2024-08,33.0,476,357,60
3,A0003,Company 0003,APAC,Mid-Market,2024-09,31.8888888888889,1092,537,166
3,A0003,Company 0003,APAC,Mid-Market,2024-10,20.0,230,73,82
3,A0003,Company 0003,APAC,Mid-Market,2024-11,24.6666666666667,501,117,261
3,A0003,Company 0003,APAC,Mid-Market,2024-12,42.1666666666667,853,363,167
4,A0004,Company 0004,Europe,SMB,2023-01,6.33333333333333,170,124,29
4,A0004,Company 0004,Europe,SMB,2023-02,7.4,155,88,65
4,A0004,Company 0004,Europe,SMB,2023-03,9.45454545454546,298,211,149
4,A0004,Company 0004,Europe,SMB,2023-04,6.0,50,43,13
4,A0004,Company 0004,Europe,SMB,2023-05,11.0,131,149,86
4,A0004,Company 0004,Europe,SMB,2023-06,8.2,118,127,51
4,A0004,Company 0004,Europe,SMB,2023-07,8.25,156,73,20
4,A0004,Company 0004,Europe,SMB,2023-08,8.25,210,86,37
4,A0004,Company 0004,Europe,SMB,2023-09,8.0,21,23,24
4,A0004,Company 0004,Europe,SMB,2023-10,9.0,202,124,57
4,A0004,Company 0004,Europe,SMB,2023-11,11.6666666666667,80,77,34
4,A0004,Company 0004,Europe,SMB,2023-12,9.0,92,84,38
4,A0004,Company 0004,Europe,SMB,2024-01,9.0,106,65,22
4,A0004,Company 0004,Europe,SMB,2024-02,7.71428571428571,215,97,54
4,A0004,Company 0004,Europe,SMB,2024-03,12.0,80,43,30
4,A0004,Company 0004,Europe,SMB,2024-04,10.0,247,124,38
4,A0004,Company 0004,Europe,SMB,2024-05,9.375,380,164,71
4,A0004,Company 0004,Europe,SMB,2024-06,7.8,206,126,25
4,A0004,Company 0004,Europe,SMB,2024-07,7.6,61,61,9
4,A0004,Company 0004,Europe,SMB,2024-08,6.0,141,88,48
4,A0004,Company 0004,Europe,SMB,2024-09,9.0,110,53,29
4,A0004,Company 0004,Europe,SMB,2024-10,6.88888888888889,251,108,78
4,A0004,Company 0004,Europe,SMB,2024-11,10.6666666666667,91,22,47
4,A0004,Company 0004,Europe,SMB,2024-12,8.0,54,79,37
5,A0005,Company 0005,APAC,SMB,2023-01,11.25,197,88,30
5,A0005,Company 0005,APAC,SMB,2023-02,7.0,55,10,5
5,A0005,Company 0005,APAC,SMB,2023-03,8.375,228,142,57
5,A0005,Company 0005,APAC,SMB,2023-04,12.6666666666667,45,70,12
5,A0005,Company 0005,APAC,SMB,2023-05,9.83333333333333,273,158,54
5,A0005,Company 0005,APAC,SMB,2023-06,5.75,165,48,34
5,A0005,Company 0005,APAC,SMB,2023-07,9.0,144,94,62
5,A0005,Company 0005,APAC,SMB,2023-08,4.33333333333333,97,55,39
5,A0005,Company 0005,APAC,SMB,2023-09,6.85714285714286,157,141,94
5,A0005,Company 0005,APAC,SMB,2023-10,10.25,176,69,41
5,A0005,Company 0005,APAC,SMB,2023-11,7.57142857142857,185,101,50
5,A0005,Company 0005,APAC,SMB,2023-12,9.2,167,102,52
5,A0005,Company 0005,APAC,SMB,2024-01,7.0,30,14,12
5,A0005,Company 0005,APAC,SMB,2024-02,6.83333333333333,136,104,101
5,A0005,Company 0005,APAC,SMB,2024-03,9.33333333333333,200,137,82
5,A0005,Company 0005,APAC,SMB,2024-04,10.4444444444444,262,182,84
5,A0005,Company 0005,APAC,SMB,2024-05,10.5,313,94,61
5,A0005,Company 0005,APAC,SMB,2024-06,9.0,37,30,16
5,A0005,Company 0005,APAC,SMB,2024-07,8.25,288,134,53
5,A0005,Company 0005,APAC,SMB,2024-08,9.33333333333333,78,52,21
5,A0005,Company 0005,APAC,SMB,2024-09,7.2,125,105,39
5,A0005,Company 0005,APAC,SMB,2024-10,8.25,163,83,43
5,A0005,Company 0005,APAC,SMB,2024-11,8.375,182,136,34
5,A0005,Company 0005,APAC,SMB,2024-12,6.25,66,70,58
11,A0011,Company 0011,North America,Mid-Market,2023-01,43.9,1575,557,316
11,A0011,Company 0011,North America,Mid-Market,2023-02,30.0,996,408,352
11,A0011,Company 0011,North America,Mid-Market,2023-03,31.6666666666667,550,118,74
11,A0011,Company 0011,North America,Mid-Market,2023-04,50.8,613,299,203
11,A0011,Company 0011,North America,Mid-Market,2023-05,38.125,707,802,414
11,A0011,Company 0011,North America,Mid-Market,2023-06,31.25,304,375,187
11,A0011,Company 0011,North America,Mid-Market,2023-07,39.0,238,96,32
11,A0011,Company 0011,North America,Mid-Market,2023-08,34.7777777777778,1600,594,341
11,A0011,Company 0011,North America,Mid-Market,2023-09,33.3333333333333,1360,728,422
11,A0011,Company 0011,North America,Mid-Market,2023-10,25.0,706,326,176
11,A0011,Company 0011,North America,Mid-Market,2023-11,32.25,490,376,213
11,A0011,Company 0011,North America,Mid-Market,2023-12,37.3333333333333,418,207,95
11,A0011,Company 0011,North America,Mid-Market,2024-01,46.0,228,21,80
11,A0011,Company 0011,North America,Mid-Market,2024-02,29.6666666666667,367,372,176
11,A0011,Company 0011,North America,Mid-Market,2024-03,40.3333333333333,774,464,97
11,A0011,Company 0011,North America,Mid-Market,2024-04,39.2857142857143,787,460,248
11,A0011,Company 0011,North America,Mid-Market,2024-05,25.5,450,439,83
11,A0011,Company 0011,North America,Mid-Market,2024-06,43.75,746,173,109
11,A0011,Company 0011,North America,Mid-Market,2024-07,32.6666666666667,575,198,173
11,A0011,Company 0011,North America,Mid-Market,2024-08,37.3333333333333,363,208,52
11,A0011,Company 0011,North America,Mid-Market,2024-09,43.75,372,506,233
11,A0011,Company 0011,North America,Mid-Market,2024-10,39.6666666666667,1209,476,166
11,A0011,Company 0011,North America,Mid-Market,2024-11,34.25,677,328,108
11,A0011,Company 0011,North America,Mid-Market,2024-12,32.8,694,340,298
13,A0013,Company 0013,Europe,Mid-Market,2023-01,36.8571428571429,756,425,437
13,A0013,Company 0013,Europe,Mid-Market,2023-02,39.6666666666667,551,219,181
13,A0013,Company 0013,Europe,Mid-Market,2023-03,35.375,1170,627,310
13,A0013,Company 0013,Europe,Mid-Market,2023-04,35.3636363636364,1527,1347,283
13,A0013,Company 0013,Europe,Mid-Market,2023-05,58.0,38,122,26
13,A0013,Company 0013,Europe,Mid-Market,2023-06,45.0,281,329,113
13,A0013,Company 0013,Europe,Mid-Market,2023-07,30.0,399,156,243
13,A0013,Company 0013,Europe,Mid-Market,2023-08,32.0,269,126,54
13,A0013,Company 0013,Europe,Mid-Market,2023-09,32.0,279,103,107
13,A0013,Company 0013,Europe,Mid-Market,2023-10,31.4285714285714,1164,336,467
13,A0013,Company 0013,Europe,Mid-Market,2023-11,44.0,300,83,23
13,A0013,Company 0013,Europe,Mid-Market,2023-12,48.0,559,303,173
13,A0013,Company 0013,Europe,Mid-Market,2024-01,40.0,81,60,88
13,A0013,Company 0013,Europe,Mid-Market,2024-02,39.2,622,450,174
13,A0013,Company 0013,Europe,Mid-Market,2024-03,32.0,464,521,292
13,A0013,Company 0013,Europe,Mid-Market,2024-04,34.2857142857143,1010,585,195
13,A0013,Company 0013,Europe,Mid-Market,2024-05,38.0,1614,877,331
13,A0013,Company 0013,Europe,Mid-Market,2024-06,36.6,1583,887,412
13,A0013,Company 0013,Europe,Mid-Market,2024-07,23.0,416,124,64
13,A0013,Company 0013,Europe,Mid-Market,2024-08,40.0,291,184,53
13,A0013,Company 0013,Europe,Mid-Market,2024-09,35.3333333333333,725,572,316
13,A0013,Company 0013,Europe,Mid-Market,2024-10,51.6,517,331,146
13,A0013,Company 0013,Europe,Mid-Market,2024-11,34.2857142857143,791,594,268
13,A0013,Company 0013,Europe,Mid-Market,2024-12,41.2,639,240,197
14,A0014,Company 0014,North America,Mid-Market,2023-01,38.4,688,435,252
14,A0014,Company 0014,North America,Mid-Market,2023-02,52.0,711,299,149
14,A0014,Company 0014,North America,Mid-Market,2023-03,23.5,184,56,52
14,A0014,Company 0014,North America,Mid-Market,2023-04,35.8,652,582,344
14,A0014,Company 0014,North America,Mid-Market,2023-05,47.3333333333333,277,282,92
14,A0014,Company 0014,North America,Mid-Market,2023-06,38.75,412,443,114
14,A0014,Company 0014,North America,Mid-Market,2023-07,27.1,1144,827,406
14,A0014,Company 0014,North America,Mid-Market,2023-08,33.6666666666667,967,539,193
14,A0014,Company 0014,North America,Mid-Market,2023-09,53.25,824,317,193
14,A0014,Company 0014,North America,Mid-Market,2023-10,32.6666666666667,915,416,309
14,A0014,Company 0014,North America,Mid-Market,2023-11,44.75,585,169,166
14,A0014,Company 0014,North America,Mid-Market,2023-12,33.0,252,173,139
14,A0014,Company 0014,North America,Mid-Market,2024-01,47.4285714285714,726,414,242
14,A0014,Company 0014,North America,Mid-Market,2024-02,43.6666666666667,547,285,146
14,A0014,Company 0014,North America,Mid-Market,2024-03,31.5555555555556,1223,567,127
14,A0014,Company 0014,North America,Mid-Market,2024-04,42.0,330,123,38
14,A0014,Company 0014,North America,Mid-Market,2024-05,32.0,660,503,163
14,A0014,Company 0014,North America,Mid-Market,2024-06,43.7142857142857,854,479,201
14,A0014,Company 0014,North America,Mid-Market,2024-07,48.0,222,207,70
14,A0014,Company 0014,North America,Mid-Market,2024-08,33.8,722,666,152
14,A0014,Company 0014,North America,Mid-Market,2024-09,48.875,1052,735,408
14,A0014,Company 0014,North America,Mid-Market,2024-10,40.0,620,361,297
14,A0014,Company 0014,North America,Mid-Market,2024-11,37.4285714285714,591,456,310
14,A0014,Company 0014,North America,Mid-Market,2024-12,35.75,698,111,300
15,A0015,Company 0015,APAC,Mid-Market,2023-01,40.75,552,304,180
15,A0015,Company 0015,APAC,Mid-Market,2023-02,54.0,421,154,68
15,A0015,Company 0015,APAC,Mid-Market,2023-03,32.3333333333333,723,534,119
15,A0015,Company 0015,APAC,Mid-Market,2023-04,35.0,753,569,228
15,A0015,Company 0015,APAC,Mid-Market,2023-05,41.25,452,280,110
15,A0015,Company 0015,APAC,Mid-Market,2023-06,29.5,1066,374,126
15,A0015,Company 0015,APAC,Mid-Market,2023-07,46.2857142857143,704,522,458
15,A0015,Company 0015,APAC,Mid-Market,2023-08,36.0,133,77,51
15,A0015,Company 0015,APAC,Mid-Market,2023-09,41.2,548,498,173
15,A0015,Company 0015,APAC,Mid-Market,2023-10,41.8571428571429,695,662,273
15,A0015,Company 0015,APAC,Mid-Market,2023-11,33.25,478,209,283
15,A0015,Company 0015,APAC,Mid-Market,2023-12,32.5454545454545,1883,678,566
15,A0015,Company 0015,APAC,Mid-Market,2024-01,31.0,550,173,93
15,A0015,Company 0015,APAC,Mid-Market,2024-02,37.5714285714286,902,375,325
15,A0015,Company 0015,APAC,Mid-Market,2024-03,39.1428571428571,598,732,172
15,A0015,Company 0015,APAC,Mid-Market,2024-04,45.5,340,267,91
15,A0015,Company 0015,APAC,Mid-Market,2024-05,39.0,452,48,289
15,A0015,Company 0015,APAC,Mid-Market,2024-06,36.6666666666667,916,134,281
15,A0015,Company 0015,APAC,Mid-Market,2024-07,37.7142857142857,1053,882,164
15,A0015,Company 0015,APAC,Mid-Market,2024-08,35.0,300,137,49
15,A0015,Company 0015,APAC,Mid-Market,2024-09,35.0,389,242,98
15,A0015,Company 0015,APAC,Mid-Market,2024-10,35.125,1067,528,384
15,A0015,Company 0015,APAC,Mid-Market,2024-11,38.0,367,197,116
15,A0015,Company 0015,APAC,Mid-Market,2024-12,39.1666666666667,1153,340,364
16,A0016,Company 0016,LATAM,Enterprise,2023-01,141.6,2661,1493,736
16,A0016,Company 0016,LATAM,Enterprise,2023-02,102.333333333333,1887,273,499
16,A0016,Company 0016,LATAM,Enterprise,2023-03,124.666666666667,3002,1529,601
16,A0016,Company 0016,LATAM,Enterprise,2023-04,161.5,1634,1164,723
16,A0016,Company 0016,LATAM,Enterprise,2023-05,147.5,1331,1800,286
16,A0016,Company 0016,LATAM,Enterprise,2023-06,138.666666666667,1382,712,230
16,A0016,Company 0016,LATAM,Enterprise,2023-07,132.4,1817,1240,912
16,A0016,Company 0016,LATAM,Enterprise,2023-08,125.5,2287,361,544
16,A0016,Company 0016,LATAM,Enterprise,2023-09,124.0,2200,807,765
16,A0016,Company 0016,LATAM,Enterprise,2023-10,102.3,4278,3061,1304
16,A0016,Company 0016,LATAM,Enterprise,2023-11,135.857142857143,3800,2396,1288
16,A0016,Company 0016,LATAM,Enterprise,2023-12,77.0,2521,1547,691
16,A0016,Company 0016,LATAM,Enterprise,2024-01,137.333333333333,1220,685,380
16,A0016,Company 0016,LATAM,Enterprise,2024-02,109.0,752,306,276
16,A0016,Company 0016,LATAM,Enterprise,2024-03,113.0,304,249,376
16,A0016,Company 0016,LATAM,Enterprise,2024-04,116.142857142857,2272,2523,1076
16,A0016,Company 0016,LATAM,Enterprise,2024-05,138.833333333333,3031,2077,1207
16,A0016,Company 0016,LATAM,Enterprise,2024-06,129.142857142857,2035,1650,660
16,A0016,Company 0016,LATAM,Enterprise,2024-07,130.4,2743,1174,326
16,A0016,Company 0016,LATAM,Enterprise,2024-08,126.75,1615,1518,287
16,A0016,Company 0016,LATAM,Enterprise,2024-09,148.5,2830,1868,1043
16,A0016,Company 0016,LATAM,Enterprise,2024-10,150.666666666667,2581,906,781
16,A0016,Company 0016,LATAM,Enterprise,2024-11,180.666666666667,2505,937,925
16,A0016,Company 0016,LATAM,Enterprise,2024-12,104.857142857143,2976,1997,903
17,A0017,Company 0017,Europe,Enterprise,2023-01,147.333333333333,1204,723,196
17,A0017,Company 0017,Europe,Enterprise,2023-02,132.6,2118,1837,658
17,A0017,Company 0017,Europe,Enterprise,2023-03,141.0,2605,968,312
17,A0017,Company 0017,Europe,Enterprise,2023-04,126.0,2558,468,550
17,A0017,Company 0017,Europe,Enterprise,2023-05,79.0,1290,896,172
17,A0017,Company 0017,Europe,Enterprise,2023-06,146.0,1541,408,300
17,A0017,Company 0017,Europe,Enterprise,2023-07,136.857142857143,4474,1773,759
17,A0017,Company 0017,Europe,Enterprise,2023-08,82.1428571428571,3963,2062,794
17,A0017,Company 0017,Europe,Enterprise,2023-10,138.0,2511,1709,310
17,A0017,Company 0017,Europe,Enterprise,2023-11,126.0,5268,3214,1890
17,A0017,Company 0017,Europe,Enterprise,2023-12,128.5,1996,882,263
17,A0017,Company 0017,Europe,Enterprise,2024-01,140.333333333333,3793,2178,1003
17,A0017,Company 0017,Europe,Enterprise,2024-02,123.428571428571,3136,2303,1428
17,A0017,Company 0017,Europe,Enterprise,2024-03,114.0,1065,311,261
17,A0017,Company 0017,Europe,Enterprise,2024-04,79.6666666666667,1279,999,449
17,A0017,Company 0017,Europe,Enterprise,2024-05,135.0,4119,2385,613
17,A0017,Company 0017,Europe,Enterprise,2024-06,121.0,1582,991,433
17,A0017,Company 0017,Europe,Enterprise,2024-07,153.0,2753,767,333
17,A0017,Company 0017,Europe,Enterprise,2024-08,106.428571428571,3108,2300,1015
17,A0017,Company 0017,Europe,Enterprise,2024-09,118.5,4876,3365,2427
17,A0017,Company 0017,Europe,Enterprise,2024-10,84.5,2208,2013,909
17,A0017,Company 0017,Europe,Enterprise,2024-12,134.2,2138,1501,515
18,A0018,Company 0018,Europe,SMB,2023-01,13.2,158,58,47
18,A0018,Company 0018,Europe,SMB,2023-02,8.77777777777778,317,175,132
18,A0018,Company 0018,Europe,SMB,2023-03,10.6,99,106,26
18,A0018,Company 0018,Europe,SMB,2023-04,8.16666666666667,154,97,66
18,A0018,Company 0018,Europe,SMB,2023-05,11.25,122,39,22
18,A0018,Company 0018,Europe,SMB,2023-06,9.2,141,58,71
18,A0018,Company 0018,Europe,SMB,2023-07,10.4,168,47,39
18,A0018,Company 0018,Europe,SMB,2023-08,10.6666666666667,170,135,44
18,A0018,Company 0018,Europe,SMB,2023-09,6.5,68,31,15
18,A0018,Company 0018,Europe,SMB,2023-10,8.16666666666667,224,121,82
18,A0018,Company 0018,Europe,SMB,2023-11,12.5,81,34,30
18,A0018,Company 0018,Europe,SMB,2023-12,8.5,30,20,18
18,A0018,Company 0018,Europe,SMB,2024-01,10.2,212,61,32
18,A0018,Company 0018,Europe,SMB,2024-02,8.84615384615385,606,218,154
18,A0018,Company 0018,Europe,SMB,2024-04,10.6666666666667,209,101,61
18,A0018,Company 0018,Europe,SMB,2024-05,6.5,170,109,16
18,A0018,Company 0018,Europe,SMB,2024-06,10.625,173,158,88
18,A0018,Company 0018,Europe,SMB,2024-07,7.2,141,127,37
18,A0018,Company 0018,Europe,SMB,2024-08,8.14285714285714,225,181,41
18,A0018,Company 0018,Europe,SMB,2024-09,7.25,87,34,31
18,A0018,Company 0018,Europe,SMB,2024-10,8.5,133,68,67
18,A0018,Company 0018,Europe,SMB,2024-11,8.16666666666667,233,163,54
18,A0018,Company 0018,Europe,SMB,2024-12,4.0,30,26,11
20,A0020,Company 0020,Europe,SMB,2023-01,12.2,193,85,36
20,A0020,Company 0020,Europe,SMB,2023-02,6.6,234,65,80
20,A0020,Company 0020,Europe,SMB,2023-03,8.6,153,88,38
20,A0020,Company 0020,Europe,SMB,2023-04,7.2,127,103,32
20,A0020,Company 0020,Europe,SMB,2023-05,8.83333333333333,163,131,34
20,A0020,Company 0020,Europe,SMB,2023-06,10.0,241,163,118
20,A0020,Company 0020,Europe,SMB,2023-07,8.09090909090909,487,231,98
20,A0020,Company 0020,Europe,SMB,2023-08,10.8,169,100,33
20,A0020,Company 0020,Europe,SMB,2023-09,12.0,83,67,27
20,A0020,Company 0020,Europe,SMB,2023-10,7.4,385,138,98
20,A0020,Company 0020,Europe,SMB,2023-11,9.0,247,79,118
20,A0020,Company 0020,Europe,SMB,2023-12,10.0,196,71,48
20,A0020,Company 0020,Europe,SMB,2024-01,6.5,20,40,16
20,A0020,Company 0020,Europe,SMB,2024-02,8.66666666666667,42,35,35
20,A0020,Company 0020,Europe,SMB,2024-03,10.4,93,45,63
20,A0020,Company 0020,Europe,SMB,2024-04,9.16666666666667,138,54,62
20,A0020,Company 0020,Europe,SMB,2024-05,6.0,75,27,17
20,A0020,Company 0020,Europe,SMB,2024-06,3.0,18,8,1
20,A0020,Company 0020,Europe,SMB,2024-07,10.0,109,54,36
20,A0020,Company 0020,Europe,SMB,2024-08,9.0,177,130,12
20,A0020,Company 0020,Europe,SMB,2024-09,8.75,179,66,28
20,A0020,Company 0020,Europe,SMB,2024-10,10.8,137,88,36
20,A0020,Company 0020,Europe,SMB,2024-11,7.33333333333333,113,37,5
20,A0020,Company 0020,Europe,SMB,2024-12,9.66666666666667,133,65,30
21,A0021,Company 0021,North America,Mid-Market,2023-02,38.8,820,185,184
21,A0021,Company 0021,North America,Mid-Market,2023-03,29.25,508,172,167
21,A0021,Company 0021,North America,Mid-Market,2023-04,40.0,931,661,339
21,A0021,Company 0021,North America,Mid-Market,2023-05,29.5,397,181,405
21,A0021,Company 0021,North America,Mid-Market,2023-06,36.1666666666667,820,416,309
21,A0021,Company 0021,North America,Mid-Market,2023-07,44.0,809,229,117
21,A0021,Company 0021,North America,Mid-Market,2023-08,34.5,1004,650,161
21,A0021,Company 0021,North America,Mid-Market,2023-09,29.6666666666667,479,260,91
21,A0021,Company 0021,North America,Mid-Market,2023-10,43.0,695,383,175
21,A0021,Company 0021,North America,Mid-Market,2023-11,31.8,887,423,186
21,A0021,Company 0021,North America,Mid-Market,2023-12,33.2,583,259,100
21,A0021,Company 0021,North America,Mid-Market,2024-01,39.75,380,300,404
21,A0021,Company 0021,North America,Mid-Market,2024-02,31.0,519,296,65
21,A0021,Company 0021,North America,Mid-Market,2024-03,32.4,678,410,193
21,A0021,Company 0021,North America,Mid-Market,2024-04,32.2222222222222,977,768,273
21,A0021,Company 0021,North America,Mid-Market,2024-05,33.8333333333333,615,319,77
21,A0021,Company 0021,North America,Mid-Market,2024-06,42.5,162,218,81
21,A0021,Company 0021,North America,Mid-Market,2024-07,37.8333333333333,572,505,357
21,A0021,Company 0021,North America,Mid-Market,2024-08,35.0,628,277,227
21,A0021,Company 0021,North America,Mid-Market,2024-09,37.1666666666667,445,240,101
21,A0021,Company 0021,North America,Mid-Market,2024-10,42.4,902,276,163
21,A0021,Company 0021,North America,Mid-Market,2024-11,39.8571428571429,907,283,230
21,A0021,Company 0021,North America,Mid-Market,2024-12,31.3333333333333,754,564,267
22,A0022,Company 0022,APAC,SMB,2023-01,10.3333333333333,79,44,13
22,A0022,Company 0022,APAC,SMB,2023-02,10.0,6,25,9
22,A0022,Company 0022,APAC,SMB,2023-03,9.09090909090909,371,163,111
22,A0022,Company 0022,APAC,SMB,2023-04,8.0,167,104,46
22,A0022,Company 0022,APAC,SMB,2023-05,9.5,148,105,40
22,A0022,Company 0022,APAC,SMB,2023-06,8.25,164,65,23
22,A0022,Company 0022,APAC,SMB,2023-07,10.0,229,35,46
22,A0022,Company 0022,APAC,SMB,2023-08,10.7142857142857,241,161,33
22,A0022,Company 0022,APAC,SMB,2023-09,12.3333333333333,123,58,29
22,A0022,Company 0022,APAC,SMB,2023-10,9.25,108,42,29
22,A0022,Company 0022,APAC,SMB,2023-11,9.14285714285714,281,118,41
22,A0022,Company 0022,APAC,SMB,2023-12,10.1428571428571,291,133,64
22,A0022,Company 0022,APAC,SMB,2024-01,11.3333333333333,77,103,10
22,A0022,Company 0022,APAC,SMB,2024-02,9.0,62,48,14
22,A0022,Company 0022,APAC,SMB,2024-03,7.5,200,81,47
22,A0022,Company 0022,APAC,SMB,2024-04,9.0,42,31,15
22,A0022,Company 0022,APAC,SMB,2024-05,10.0,238,85,46
22,A0022,Company 0022,APAC,SMB,2024-06,12.0,140,65,33
22,A0022,Company 0022,APAC,SMB,2024-07,7.0,87,54,29
22,A0022,Company 0022,APAC,SMB,2024-08,10.75,97,71,45
22,A0022,Company 0022,APAC,SMB,2024-09,11.6666666666667,80,104,43
22,A0022,Company 0022,APAC,SMB,2024-10,9.54545454545454,360,237,115
22,A0022,Company 0022,APAC,SMB,2024-11,8.0,61,29,27
22,A0022,Company 0022,APAC,SMB,2024-12,7.54545454545455,493,167,76
23,A0023,Company 0023,North America,SMB,2023-01,9.0,221,97,70
23,A0023,Company 0023,North America,SMB,2023-02,6.83333333333333,98,99,64
23,A0023,Company 0023,North America,SMB,2023-03,11.6666666666667,56,111,17
23,A0023,Company 0023,North America,SMB,2023-04,10.25,94,122,33
23,A0023,Company 0023,North America,SMB,2023-05,12.2,221,92,52
23,A0023,Company 0023,North America,SMB,2023-06,8.25,118,38,9
23,A0023,Company 0023,North America,SMB,2023-07,7.0,276,94,36
